Municípios,Estimativas Populacionais - DEE\Total\2021,Idese\2021,PIB\Total\2021 (R$ mil),PIB\Impostos\2021 (R$ mil),PIB\Indústria\2021 (R$ mil),PIB\Agropecuária\2021 (R$ mil),PIB\Serviços\Total\2021,PIB per capita\2021 (R$),COREDE,Fronteira Argentina,Fronteira Uruguai,Fronteira Santa Catarina,Litorâneo
Constantina,10.805,"0,7655","432.347,60","43.277,61","37.066,42","128.556,20","223.447,38","43.658,25",Rio da Várzea,Não,Não,Não,Não
Coqueiro Baixo,1.500,"0,7468","52.163,24","1.570,61","1.306,33","28.711,53","20.574,77","35.008,88",Vale do Taquari,Não,Não,Não,Não
Coqueiros do Sul,2.392,"0,8490","190.143,73","9.962,68","6.204,00","116.788,55","57.188,50","83.874,61",Produção,Não,Não,Não,Não
Coronel Barros,2.908,"0,8183","226.125,02","18.783,57","14.257,94","102.961,16","90.122,34","89.696,56",Noroeste Colonial,Não,Não,Não,Não
Coronel Bicaco,7.477,"0,7220","515.152,27","28.364,74","16.532,65","288.705,44","181.549,43","71.419,97",Celeiro,Não,Não,Não,Não
Coronel Pilar,1.743,"0,7659","49.059,08","1.933,83","3.093,89","23.451,35","20.580,01","30.623,65",Serra,Não,Não,Não,Não
Cotiporã,3.967,"0,8169","167.927,52","15.961,38","36.945,58","45.672,93","69.347,63","43.914,10",Serra,Não,Não,Não,Não
Coxilha,2.912,"0,8287","422.463,55","14.413,80","18.741,63","297.297,89","92.010,23","154.691,89",Produção,Não,Não,Não,Não
Crissiumal,13.901,"0,7590","508.975,70","36.159,66","50.484,26","188.787,98","233.543,79","38.358,26",Celeiro,Sim,Não,Sim,Não
Cristal,7.633,"0,6981","308.906,29","17.028,18","15.153,92","155.760,36","120.963,83","38.037,96",Centro-Sul,Não,Não,Não,Não
Cristal do Sul,2.885,"0,7403","94.740,39","2.478,04","2.157,92","56.692,39","33.412,04","33.359,29",Médio Alto Uruguai,Não,Não,Não,Não
Cruz Alta,62.386,"0,7867","4.609.383,81","702.725,54","418.956,11","776.889,97","2.710.812,19","77.389,30",Alto Jacuí,Não,Não,Não,Não
Cruzaltense,1.891,"0,8349","144.763,33","7.737,13","3.963,36","84.741,22","48.321,62","82.018,89",Norte,Não,Não,Não,Não
Cruzeiro do Sul,13.637,"0,7875","533.002,44","74.633,60","123.218,14","90.458,41","244.692,28","42.787,38",Vale do Taquari,Não,Não,Não,Não
David Canabarro,4.531,"0,8312","229.362,45","15.947,06","9.455,03","102.178,05","101.782,31","48.470,51",Produção,Não,Não,Não,Não
Derrubadas,2.926,"0,7405","148.406,81","4.668,03","5.332,02","92.002,75","46.404,01","54.601,48",Celeiro,Sim,Não,Sim,Não
Dezesseis de Novembro,2.503,"0,7009","57.173,90","2.091,57","1.282,08","21.162,92","32.637,34","24.527,63",Missões,Não,Não,Não,Não
Dilermando de Aguiar,2.985,"0,7735","267.900,90","8.955,76","12.580,89","182.178,69","64.185,57","89.569,01",Central,Não,Não,Não,Não
Dois Irmãos,33.479,"0,7960","2.188.540,31","346.831,70","783.119,44","20.707,72","1.037.881,45","65.238,03",Vale do Rio dos Sinos,Não,Não,Não,Não
Dois Irmãos das Missões,2.131,"0,7810","199.193,84","9.052,08","7.711,80","135.693,17","46.736,79","99.996,91",Médio Alto Uruguai,Não,Não,Não,Não
Dois Lajeados,3.539,"0,8084","172.600,63","12.892,44","33.172,75","59.127,34","67.408,10","50.616,02",Vale do Taquari,Não,Não,Não,Não
Dom Feliciano,14.055,"0,6053","356.857,03","15.761,64","9.625,47","155.677,78","175.792,13","22.940,15",Centro-Sul,Não,Não,Não,Não
Dom Pedrito,36.422,"0,7586","2.210.940,53","141.220,33","132.721,66","1.052.204,25","884.794,29","57.844,71",Campanha,Não,Sim,Não,Não
Dom Pedro de Alcântara,2.826,"0,6622","65.532,72","6.641,90","4.158,76","9.319,93","45.412,13","26.005,05",Litoral,Não,Não,Não,Não
Dona Francisca,3.312,"0,7355","106.595,52","7.268,13","17.506,06","35.158,08","46.663,25","36.036,35",Central,Não,Não,Não,Não
Doutor Maurício Cardoso,4.795,"0,7720","260.795,73","12.391,03","7.345,83","146.062,72","94.996,15","59.542,40",Fronteira Noroeste,Sim,Não,Sim,Não
Doutor Ricardo,1.952,"0,8001","78.890,01","5.928,43","11.112,40","27.780,83","34.068,35","40.106,77",Vale do Taquari,Não,Não,Não,Não
Eldorado do Sul,41.221,"0,7131","2.120.258,24","474.344,01","264.186,22","183.079,22","1.198.648,79","49.900,17",Metropolitano Delta do Jacuí,Não,Não,Não,Não
Encantado,23.543,"0,7896","1.168.354,66","195.959,62","316.052,00","51.928,81","604.414,23","50.694,44",Vale do Taquari,Não,Não,Não,Não
Encruzilhada do Sul,23.591,"0,7087","1.080.942,93","55.554,71","46.320,58","568.395,98","410.671,65","41.512,46",Vale do Rio Pardo,Não,Não,Não,Não
Engenho Velho,1.498,"0,7558","73.213,19","3.038,76","1.811,79","38.447,05","29.915,59","78.554,93",Rio da Várzea,Não,Não,Não,Não
Entre-ijuís,9.272,"0,7561","687.575,82","64.998,01","26.463,45","279.913,70","316.200,66","82.344,41",,Não,Não,Não,Não
Entre Rios do Sul,2.903,"0,7407","207.515,91","11.115,51","91.375,67","51.456,83","53.567,90","76.180,58",Norte,Não,Não,Não,Não
Erebango,3.124,"0,7603","180.477,88","13.663,79","11.793,13","84.383,63","70.637,33","60.603,72",Norte,Não,Não,Não,Não
Erechim,109.459,"0,8008","6.882.610,72","1.102.797,84","2.043.872,00","154.750,20","3.581.190,68","64.103,00",Norte,Não,Não,Não,Não
Ernestina,3.137,"0,8192","265.547,85","13.581,36","24.063,75","144.265,27","83.637,46","83.742,62",Produção,Não,Não,Não,Não
Erval Grande,5.234,"0,7262","150.881,72","11.737,37","8.639,33","56.127,24","74.377,79","31.565,21",Norte,Não,Não,Não,Não
Erval Seco,7.515,"0,7546","353.966,62","22.954,05","18.709,14","168.828,02","143.475,42","52.854,50",Médio Alto Uruguai,Não,Não,Sim,Não
Esmeralda,3.291,"0,7805","392.858,57","17.924,36","10.500,72","251.708,99","112.724,51","119.373,62",Campos de Cima da Serra,Não,Não,Não,Não
Esperança do Sul,3.279,"0,6857","116.730,25","6.082,68","7.135,19","57.991,29","45.521,10","41.015,55",Celeiro,Sim,Não,Sim,Não
Espumoso,15.694,"0,7887","1.113.102,34","104.289,09","83.366,39","441.675,53","483.771,33","71.380,17",Alto da Serra do Botucaraí,Não,Não,Não,Não
Estação,6.220,"0,7834","350.706,49","52.165,09","61.395,51","59.749,80","177.396,09","59.200,96",Norte,Não,Não,Não,Não
Estância Velha,49.776,"0,7656","1.875.488,24","237.595,29","566.385,42","6.183,08","1.065.324,45","36.564,93",Vale do Rio dos Sinos,Não,Não,Não,Não
Esteio,86.429,"0,7544","3.749.877,54","600.853,57","858.325,82","3.288,08","2.287.410,07","44.988,45",Vale do Rio dos Sinos,Não,Não,Não,Não
Estrela,35.831,"0,7940","2.171.440,71","267.344,56","783.045,91","140.487,65","980.562,60","62.633,50",Vale do Taquari,Não,Não,Não,Não
Estrela Velha,3.469,"0,7714","197.413,82","9.966,55","4.819,60","111.418,85","71.208,81","54.145,31",Vale do Rio Pardo,Não,Não,Não,Não
Eugênio de Castro,2.723,"0,8026","405.442,60","19.489,12","24.038,45","262.515,14","99.399,89","175.516,28",Missões,Não,Não,Não,Não
